Individual,PC1,PC2,PC3,PC4,Population
Whenua_Hou_post:MS11669,-0.0041,-0.0074,-0.0026,-0.0055,Whenua_Hou_post
Whenua_Hou_post:MS11670,-0.0044,-0.0160,-0.0056,-0.0072,Whenua_Hou_post
Whenua_Hou_post:MS11673,-0.0051,-0.0095,-0.0033,-0.0064,Whenua_Hou_post
Whenua_Hou_pre:MS11674,-0.0491,-0.0694,-0.0598,-0.0908,Whenua_Hou_pre
Whenua_Hou_pre:MS11675,-0.0262,-0.0552,-0.0254,-0.0388,Whenua_Hou_pre
Whenua_Hou_pre:MS11676,-0.5923,0.7134,0.0740,0.0933,Whenua_Hou_pre
Whenua_Hou_pre:MS11677,-0.0482,-0.1385,-0.1014,-0.2313,Whenua_Hou_pre
Whenua_Hou_pre:MS11678,-0.0261,-0.0690,-0.0253,-0.0655,Whenua_Hou_pre
Long_Bay:MS11679,-0.0090,-0.2072,-0.0460,-0.6377,Long_Bay
Long_Bay:MS11683,0.0006,-0.3138,0.7909,0.3709,Long_Bay
Long_Bay:MS11684,-0.0115,-0.2479,-0.5918,0.6137,Long_Bay
Long_Bay:MS11686,0.8017,0.5039,0.0333,0.0469,Long_Bay
Kahukura:MS11770,-0.0036,-0.0165,-0.0060,-0.0073,Kahukura
Kahukura:MS11771,-0.0077,-0.0343,-0.0137,-0.0121,Kahukura
Kahukura:MS11774,-0.0092,-0.0185,-0.0100,-0.0121,Kahukura
Kahukura:MS11775,-0.0057,-0.0142,-0.0073,-0.0101,Kahukura
