Individual,PC1,PC2,PC3,PC4,Population,Population2
AfghanHound:AfghanHound01,0.0053,-0.0546,-0.0203,0.0186,Breed,AfghanHound
AfghanHound:AfghanHound03,0.0048,-0.049,-0.0174,0.0156,Breed,AfghanHound
AfghanHound:AfghanHound04,0.0075,-0.0564,-0.0161,0.019,Breed,AfghanHound
AiredaleTerrier:AiredaleTer01,-0.0207,0.023,0.0025,0.0013,Breed,AiredaleTerrier
AiredaleTerrier:AiredaleTer02,-0.0208,0.0232,0.0021,0.0006,Breed,AiredaleTerrier
AiredaleTerrier:AiredaleTer05,-0.0209,0.023,0.0032,-0.0002,Breed,AiredaleTerrier
AiredaleTerrier:TA001,-0.0206,0.023,0.0024,0.0003,Breed,AiredaleTerrier
AlaskanHusky:AlaskanHusky01,0.0439,-0.1285,0.1242,-0.1951,Breed,AlaskanHusky
AlaskanHusky:AlaskanHusky02,0.0518,-0.1498,0.1433,-0.2327,Breed,AlaskanHusky
AlaskanMalamute:AlaskanMalamute01,0.0496,-0.128,0.1338,-0.2019,Breed,AlaskanMalamute
AlaskanMalamute:AlaskanMalamute02,0.0473,-0.1254,0.1298,-0.192,Breed,AlaskanMalamute
AlaskanMalamute:AM007,0.0482,-0.1303,0.1351,-0.2138,Breed,AlaskanMalamute
AlpineDachsbracke:AlpineDachsbracke,-0.0179,0.0131,-0.0006,0.0022,Breed,AlpineDachsbracke
AmericanHairlessTerrier:HairlessTer01,-0.0191,0.016,0.0017,-0.0016,Breed,AmericanHairlessTerrier
AustralianCattleDog:AC023,-0.0135,0.0197,0.0017,-0.0024,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog01,-0.0144,0.0178,0.0018,-0.0002,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog02,-0.013,0.0197,0,-0.0013,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog03,-0.0158,0.0181,0.0003,-0.0005,Breed,AustralianCattleDog
AustralianTerrier:AR001,-0.0167,0.0166,0.0025,0.0012,Breed,AustralianTerrier
AustraliaVillage:VillDog_Aus01,0.0619,0.0388,-0.0097,-0.0021,Village,AustraliaVillage
Basenji:Basenji01,0.0104,-0.1837,-0.2783,-0.0387,Breed,Basenji
Basenji:Basenji02,0.0114,-0.2285,-0.3581,-0.0541,Breed,Basenji
Basenji:Basenji03,0.0125,-0.249,-0.3902,-0.0599,Breed,Basenji
Basenji:CFA.118003,0.0125,-0.2458,-0.3873,-0.061,Breed,Basenji
BavarianHound:BG064,-0.0172,0.0132,0.0006,-0.0015,Breed,BavarianHound
Beagle:Beagle01,-0.0181,0.0158,0.0007,0.0004,Breed,Beagle
Beagle:Beagle02,-0.019,0.0157,0.0018,0.0029,Breed,Beagle
Beagle:Beagle04,-0.0187,0.0157,0.0015,0.0052,Breed,Beagle
Beagle:CFA.117995,-0.0189,0.0181,0.001,-0.0006,Breed,Beagle
BeardedCollie:BeardedCollie01,-0.0191,0.0191,0.0031,-0.0023,Breed,BeardedCollie
BeardedCollie:BeardedCollie02,-0.0196,0.0198,0.0032,-0.0028,Breed,BeardedCollie
BeardedCollie:BeardedCollie03,-0.0194,0.0196,0.0039,-0.003,Breed,BeardedCollie
BeardedCollie:BeardedCollie04,-0.0198,0.0204,0.003,-0.0035,Breed,BeardedCollie
BelgianMalinois:BelgianMalinois02,-0.0181,0.0154,0.0014,0.0006,Breed,BelgianMalinois
BelgianMalinois:BelgianMalinois03,-0.0178,0.0146,0.0003,-0.0002,Breed,BelgianMalinois
BelgianMalinois:MA0163,-0.018,0.0158,0.0009,0.0007,Breed,BelgianMalinois
BelgianMalinois:MA142,-0.0182,0.0163,0.001,-0.0011,Breed,BelgianMalinois
BelgianSheepdog:BelgianSheepdog01,-0.0183,0.0179,0.0009,0.0003,Breed,BelgianSheepdog
BelgianSheepdog:BelgianSheepdog03,-0.018,0.0167,0.0005,-0.0002,Breed,BelgianSheepdog
BelgianSheepdog:BelgianSheepdog05,-0.0183,0.0174,0.0006,0.0001,Breed,BelgianSheepdog
