Individual,PC1,PC2,PC3,PC4,Population
Whenua_Hou_post:MS11669,0.0030,0.0030,0.0138,-0.0042,Whenua_Hou_post
Whenua_Hou_post:MS11673,0.0019,0.0040,0.0126,0.0046,Whenua_Hou_post
Kahukura:MS11770,-0.0025,0.0100,0.0157,0.0066,Kahukura
Kahukura:MS11775,0.0127,0.0099,0.0277,0.0034,Kahukura
Whenua_Hou_post:MS11670,0.0070,0.0081,0.0231,0.0013,Whenua_Hou_post
Kahukura:MS11771,0.0121,0.0196,0.0411,0.0047,Kahukura
Kahukura:MS11774,0.0357,0.0062,0.0929,0.0087,Kahukura
Whenua_Hou_pre:MS11675,0.0348,0.0472,0.0978,0.0162,Whenua_Hou_pre
Whenua_Hou_pre:MS11678,0.0003,0.0164,0.1109,0.0409,Whenua_Hou_pre
Long_Bay:MS11679,0.0549,0.0963,0.2029,-0.1786,Long_Bay
Whenua_Hou_pre:MS11677,0.4802,-0.7381,-0.3476,-0.0288,Whenua_Hou_pre
Long_Bay:MS11683,0.0785,0.1300,0.3222,-0.5615,Long_Bay
Long_Bay:MS11684,0.0560,0.0944,0.1514,-0.0160,Long_Bay
Whenua_Hou_pre:MS11674,-0.0317,0.0372,0.2305,0.7988,Whenua_Hou_pre
Long_Bay:MS11686,0.1171,0.5654,-0.7514,0.0106,Long_Bay
Whenua_Hou_pre:MS11676,-0.8600,-0.3097,-0.2436,-0.1067,Whenua_Hou_pre
