Individual,PC1,PC2,PC3,PC4,Population
Whenua_Hou_post:MS11669,0.0050,0.0071,0.0028,-0.0047,Whenua_Hou_post
Whenua_Hou_post:MS11670,0.0075,0.0139,0.0063,-0.0070,Whenua_Hou_post
Whenua_Hou_post:MS11673,0.0064,0.0075,0.0038,-0.0050,Whenua_Hou_post
Whenua_Hou_pre:MS11674,0.0606,0.0451,0.0571,-0.0593,Whenua_Hou_pre
Whenua_Hou_pre:MS11675,0.0346,0.0432,0.0294,-0.0317,Whenua_Hou_pre
Whenua_Hou_pre:MS11676,0.5070,-0.7647,-0.0964,0.0852,Whenua_Hou_pre
Whenua_Hou_pre:MS11677,0.0613,0.1117,0.0959,-0.1517,Whenua_Hou_pre
Whenua_Hou_pre:MS11678,0.0356,0.0601,0.0288,-0.0496,Whenua_Hou_pre
Long_Bay:MS11679,0.0284,0.2141,0.0970,-0.7053,Long_Bay
Long_Bay:MS11683,0.0299,0.3447,-0.7947,0.3137,Long_Bay
Long_Bay:MS11684,0.0384,0.2514,0.5775,0.6036,Long_Bay
Long_Bay:MS11686,-0.8540,-0.4069,-0.0420,0.0463,Long_Bay
Kahukura:MS11770,0.0065,0.0151,0.0049,-0.0068,Kahukura
Kahukura:MS11771,0.0129,0.0326,0.0138,-0.0128,Kahukura
Kahukura:MS11774,0.0113,0.0138,0.0092,-0.0082,Kahukura
Kahukura:MS11775,0.0086,0.0114,0.0068,-0.0069,Kahukura
