Individual,PC1,PC2,PC3,PC4,Population
Whenua_Hou_post:MS11669,-0.0075,-0.0034,-0.0043,0.0023,Whenua_Hou_post
Whenua_Hou_post:MS11670,-0.0115,-0.0079,-0.0083,0.0045,Whenua_Hou_post
Whenua_Hou_post:MS11673,-0.0094,-0.0024,-0.0050,0.0030,Whenua_Hou_post
Whenua_Hou_pre:MS11674,-0.0705,0.0026,-0.0489,0.0196,Whenua_Hou_pre
Whenua_Hou_pre:MS11675,-0.0451,-0.0115,-0.0335,0.0154,Whenua_Hou_pre
Whenua_Hou_pre:MS11676,-0.3664,0.7968,0.1949,-0.0747,Whenua_Hou_pre
Whenua_Hou_pre:MS11677,-0.0808,-0.0514,-0.0965,0.0637,Whenua_Hou_pre
Whenua_Hou_pre:MS11678,-0.0501,-0.0325,-0.0383,0.0310,Whenua_Hou_pre
Long_Bay:MS11679,-0.0593,-0.2120,-0.1815,0.7670,Long_Bay
Long_Bay:MS11683,-0.0771,-0.4529,0.7662,-0.2223,Long_Bay
Long_Bay:MS11684,-0.0762,-0.2290,-0.5680,-0.5911,Long_Bay
Long_Bay:MS11686,0.9128,0.2412,0.0668,-0.0382,Long_Bay
Kahukura:MS11770,-0.0111,-0.0094,-0.0073,0.0051,Kahukura
Kahukura:MS11771,-0.0193,-0.0200,-0.0188,0.0083,Kahukura
Kahukura:MS11774,-0.0153,-0.0039,-0.0089,0.0027,Kahukura
Kahukura:MS11775,-0.0132,-0.0042,-0.0087,0.0038,Kahukura
