Individual,PC1,PC2,PC3,PC4,Population,Population2
AfghanHound:AfghanHound04,-0.006,-0.0022,-0.0141,-0.0018,Breed,AfghanHound
AfghanHound:AfghanHound01,-0.0072,-0.0024,-0.0114,-0.0017,Breed,AfghanHound
AfghanHound:AfghanHound03,-0.0074,-0.0017,-0.011,-0.0015,Breed,AfghanHound
AiredaleTerrier:AiredaleTer01,-0.0245,-0.0007,0.0144,-0.0008,Breed,AiredaleTerrier
AiredaleTerrier:AiredaleTer02,-0.0246,-0.0009,0.0142,-0.0007,Breed,AiredaleTerrier
AiredaleTerrier:AiredaleTer05,-0.0247,-0.001,0.0138,-0.0007,Breed,AiredaleTerrier
AiredaleTerrier:TA001,-0.0248,-0.0014,0.0144,-0.0006,Breed,AiredaleTerrier
AlaskanHusky:AlaskanHusky02,0.0043,0.0038,-0.0696,-0.0048,Breed,AlaskanHusky
AlaskanHusky:AlaskanHusky01,0.0023,0.002,-0.0589,-0.0041,Breed,AlaskanHusky
AlaskanMalamute:AM007,0.0027,0.004,-0.0622,-0.0043,Breed,AlaskanMalamute
AlaskanMalamute:AlaskanMalamute01,0.002,0.0039,-0.0654,-0.0043,Breed,AlaskanMalamute
AlaskanMalamute:AlaskanMalamute02,0.0017,0.0042,-0.0642,-0.0042,Breed,AlaskanMalamute
AlpineDachsbracke:AlpineDachsbracke,-0.0225,-0.001,0.0126,-0.0012,Breed,AlpineDachsbracke
AmericanHairlessTerrier:HairlessTer01,-0.0231,-0.0014,0.013,-0.0002,Breed,AmericanHairlessTerrier
AustralianCattleDog:AC023,-0.0223,-0.0019,0.0096,-0.0009,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog01,-0.0224,-0.001,0.0087,-0.0007,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog02,-0.0225,-0.001,0.0079,-0.001,Breed,AustralianCattleDog
AustralianCattleDog:AusCattleDog03,-0.023,-0.0012,0.0096,-0.0009,Breed,AustralianCattleDog
AustralianTerrier:AR001,-0.0226,-0.0016,0.0114,-0.001,Breed,AustralianTerrier
AustraliaVillage:VillDog_Aus01,-0.0073,0.0009,-0.0454,-0.0038,Village,AustraliaVillage
Basenji:CFA.118003,0.0046,-0.007,-0.0144,-0.0004,Breed,Basenji
Basenji:Basenji03,0.0041,-0.0054,-0.0172,-0.0008,Breed,Basenji
Basenji:Basenji02,0.0032,-0.0056,-0.0154,-0.0004,Breed,Basenji
Basenji:Basenji01,0.0017,-0.0038,-0.0143,-0.0008,Breed,Basenji
BavarianHound:BG064,-0.0223,-0.0019,0.0118,-0.0008,Breed,BavarianHound
Beagle:Beagle01,-0.023,-0.001,0.0117,-0.001,Breed,Beagle
Beagle:CFA.117995,-0.0231,-0.0022,0.014,-0.0007,Breed,Beagle
Beagle:Beagle02,-0.0233,-0.0003,0.0115,-0.001,Breed,Beagle
Beagle:Beagle04,-0.0234,0.0023,0.0121,-0.002,Breed,Beagle
BeardedCollie:BeardedCollie01,-0.0237,-0.0012,0.0122,-0.0008,Breed,BeardedCollie
BeardedCollie:BeardedCollie02,-0.0239,-0.0012,0.0129,-0.0007,Breed,BeardedCollie
BeardedCollie:BeardedCollie03,-0.0239,-0.0011,0.0126,-0.0008,Breed,BeardedCollie
BeardedCollie:BeardedCollie04,-0.0242,-0.0011,0.0128,-0.0007,Breed,BeardedCollie
BelgianMalinois:BelgianMalinois03,-0.0229,-0.001,0.0109,-0.0009,Breed,BelgianMalinois
BelgianMalinois:BelgianMalinois02,-0.023,-0.001,0.0112,-0.0009,Breed,BelgianMalinois
BelgianMalinois:MA142,-0.0231,-0.0019,0.013,-0.0009,Breed,BelgianMalinois
BelgianMalinois:MA0163,-0.0233,-0.0015,0.0114,-0.0008,Breed,BelgianMalinois
BelgianSheepdog:BelgianSheepdog05,-0.0236,-0.0013,0.0117,-0.0008,Breed,BelgianSheepdog
BelgianSheepdog:BelgianSheepdog01,-0.0238,-0.0011,0.0111,-0.0009,Breed,BelgianSheepdog
BelgianSheepdog:BelgianSheepdog03,-0.0238,-0.0012,0.0111,-0.0008,Breed,BelgianSheepdog
BelgianSheepdog:BelgianSheepdog06,-0.0242,-0.0013,0.0118,-0.0009,Breed,BelgianSheepdog
BelgianTervuren:BelgianTervuren01,-0.0236,-0.001,0.0106,-0.001,Breed,BelgianTervuren
BelgianTervuren:BelgianTervuren11,-0.0241,-0.0014,0.013,-0.0008,Breed,BelgianTervuren
BelgianTervuren:BelgianTervuren05,-0.0242,-0.0013,0.0126,-0.0008,Breed,BelgianTervuren
BelgianTervuren:BelgianTervuren10,-0.0243,-0.0014,0.0123,-0.0008,Breed,BelgianTervuren
BergerBlancSuisse:BergerBlancSui01,-0.023,-0.0016,0.0102,-0.0008,Breed,BergerBlancSuisse
BergerPicard:CFA.109670,-0.0245,-0.002,0.0145,-0.0008,Breed,BergerPicard
BergerPicard:BergerPicard01,-0.0248,-0.0013,0.0132,-0.0007,Breed,BergerPicard
