Individual,PC1,PC2,PC3,PC4,Population
BorneoVillage:VillDog_Borneo01,0.0348,0.0073,0.0126,-0.0154,BorneoVillage
BorneoVillage:VillDog_Borneo02,0.0352,0.0084,0.0151,-0.0069,BorneoVillage
BorneoVillage:VillDog_Borneo03,0.0345,0.0078,0.0130,-0.0112,BorneoVillage
ChinaVil:VillDog_China01,0.1209,0.0326,0.0152,0.0339,ChinaVil
ChinaVil:VillDog_China02,0.0808,0.0188,0.0207,0.0107,ChinaVil
ChinaVil:VillDog_China03,0.0958,0.0243,0.0187,0.0205,ChinaVil
ChinaVil:VillDog_China52,0.1284,0.0359,0.0221,0.0489,ChinaVil
ChinaVilAnhui:ChinaIndDog14,0.0738,0.0122,0.0242,0.0060,ChinaVilAnhui
ChinaVilDiqing:VillDog_China40,0.1151,0.0283,0.0183,0.0299,ChinaVilDiqing
ChinaVilDiqing:VillDog_China41,0.1163,0.0276,0.0188,0.0277,ChinaVilDiqing
ChinaVilDiqing:VillDog_China44,0.1147,0.0267,0.0198,0.0271,ChinaVilDiqing
ChinaVilDiqing:VillDog_China46,0.1159,0.0282,0.0180,0.0288,ChinaVilDiqing
ChinaVilGansu:ChinaIndDog02,0.1198,0.0321,0.0203,0.0327,ChinaVilGansu
ChinaVilGansu:ChinaIndDog03,0.1202,0.0296,0.0240,0.0326,ChinaVilGansu
ChinaVilGansu:ChinaIndDog04,0.1211,0.0306,0.0197,0.0340,ChinaVilGansu
ChinaVilGuangdong:ChinaIndDog05,0.0866,0.0116,0.0171,0.0107,ChinaVilGuangdong
ChinaVilGuizhou:ChinaIndDog06,0.0872,0.0156,0.0233,0.0108,ChinaVilGuizhou
ChinaVilHebei:ChinaIndDog07,0.1188,0.0292,0.0207,0.0343,ChinaVilHebei
ChinaVilLiaoning:ChinaIndDog01,0.1181,0.0290,0.0178,0.0346,ChinaVilLiaoning
ChinaVilLijiang:VillDog_China30,0.1023,0.0259,0.0210,0.0196,ChinaVilLijiang
ChinaVilLijiang:VillDog_China31,0.1039,0.0265,0.0210,0.0226,ChinaVilLijiang
ChinaVilLijiang:VillDog_China32,0.1109,0.0278,0.0199,0.0287,ChinaVilLijiang
ChinaVilLijiang:VillDog_China38,0.1063,0.0256,0.0206,0.0251,ChinaVilLijiang
ChinaVilShanxi:ChinaIndDog08,0.1176,0.0284,0.0179,0.0394,ChinaVilShanxi
