Sample,NonReferenceSNPs,CoveredSites,Total_positions,Fraction_different
MS11669,49981,1115072,19161372,0.0448
MS11673,62181,1380524,19161372,0.045
MS11770,90593,2020427,19161372,0.0448
MS11775,94916,2089688,19161372,0.0454
MS11670,83193,1855727,19161372,0.0448
MS11771,140274,3124010,19161372,0.0449
MS11774,105363,2321729,19161372,0.0454
MS11675,236357,5177183,19161372,0.0457
MS11678,232678,5134141,19161372,0.0453
MS11679,299622,6643296,19161372,0.0451
MS11677,311464,6859414,19161372,0.0454
MS11683,322831,7206046,19161372,0.0448
MS11684,331143,7329862,19161372,0.0452
MS11674,303127,6659494,19161372,0.0455
MS11686,485195,10703066,19161372,0.0453
MS11676,504212,11023024,19161372,0.0457
