Sample,Group
AfghanHound01,Basal breed
AfghanHound03,Basal breed
AfghanHound04,Basal breed
AiredaleTerrier05,Modern breed
AlaskanHusky01,Basal breed
AlaskanHusky02,Basal breed
AlaskanMalamute01,Basal breed
AlaskanMalamute02,Basal breed
AustralianCattleDog01,Modern breed
Basenji01,Basal breed
Basenji02,Basal breed
Basenji03,Basal breed
Beagle01,Modern breed
BeardedCollie01,Modern breed
BelgianMalinois02,Modern breed
BelgianSheepdog01,Modern breed
BelgianTervuren01,Modern breed
BergerBlancSuisse01,Modern breed
BergerPicard01,Modern breed
BerneseMountainDog01,Modern breed
BlackRussianTerrier01,Modern breed
Bloodhound01,Modern breed
BorderCollie03,Modern breed
BorderTerrier01,Modern breed
Borzoi01,Modern breed
BostonTerrier01,Modern breed
BouvierDesFlandres01,Modern breed
Boxer01,Modern breed
BrittanySpaniel01,Modern breed
Bulldog01,Modern breed
BullTerrier03,Modern breed
Chihuahua01,Modern breed
ChineseCrested01,Modern breed
ChineseCrested05,Modern breed
Chinook01,Modern breed
ChowChow01,Basal breed
ChowChow02,Basal breed
ChowChow03,Basal breed
ClumberSpaniel01,Modern breed
CockerSpanielAmerican01,Modern breed
CockerSpanielEnglish01,Modern breed
Coonhound01,Modern breed
Dalmatian01,Modern breed
EnglishMastiff01,Modern breed
EnglishPointer01,Modern breed
EnglishSetter01,Modern breed
EnglishSpringerSpaniel01,Modern breed
EntlebucherSennenhund01,Modern breed
FinnishLapphund01,Modern breed
FlatcoatedRetriever01,Modern breed
FrenchBulldog01,Modern breed
GermanShepherd10,Modern breed
GermanWirehairedPointer01,Modern breed
GoldenRetriever02,Modern breed
GordonSetter01,Modern breed
GreatDane01,Modern breed
GreaterSwissMountainDog01,Modern breed
GreatPyrenees01,Modern breed
GreenlandDog01,Basal breed
Greyhound02,Modern breed
Heideterrier01,Modern breed
IrishSetter01,Modern breed
IrishTerrier01,Modern breed
IrishWaterSpaniel01,Modern breed
IrishWolfhound01,Modern breed
IstrianShorthairedHound01,Modern breed
ItalianGreyhound01,Modern breed
JackRussellTerrier02,Modern breed
Jamthund01,Modern breed
Jindo01,Basal breed
Keeshond01,Modern breed
KerryBlueTerrier02,Modern breed
Komondor01,Modern breed
Kromfohrlander01,Modern breed
LabradorRetriever01,Modern breed
LagottoRomagnolo02,Modern breed
MexicanHairless01,Modern breed
MiniaturePoodle01,Modern breed
MiniatureSchnauzer01,Modern breed
NorwegianElkhound01,Modern breed
NorwegianLundehund01,Modern breed
PembrokeWelshCorgi01,Modern breed
PembrokeWelshCorgi02,Modern breed
PeruvianHairless01,Modern breed
PetitBassetGriffonVendeen01,Modern breed
Pomeranian01,Modern breed
PortuguesePodengo01,Modern breed
PortugueseWaterDog01,Modern breed
Pug02,Modern breed
RhodesianRidgeback01,Modern breed
Rottweiler01,Modern breed
SaintBernard01,Modern breed
Saluki01,Basal breed
Saluki02,Basal breed
Saluki03,Basal breed
ScottishDeerhound01,Modern breed
ScottishTerrier01,Modern breed
ShetlandSheepdog01,Modern breed
ShibaInu01,Basal breed
SiberianHusky01,Basal breed
SiberianHusky02,Basal breed
SiberianHusky04,Basal breed
StandardPoodle01,Modern breed
SwedishLapphund01,Modern breed
TibetanMastiff02,Basal breed
Vizsla01,Modern breed
WestHighlandWhiteTerr02,Modern breed
Whippet01,Modern breed
XiasiDog01,Basal breed
Xoloitzcuintli01,Modern breed
YorkshireTerrier02,Modern breed
Dingo01,Dingo
E56,Dingo
Y07,Dingo
Y47,Dingo
