Alcaligenes_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4233756	11049	196814	4.64869	0.0968856	40.9	29.2
MS11670	1	4233756	2353	51210	1.20956	0.0202784	40.9	28.3
MS11673	1	4233756	2398	43631	1.03055	0.0206547	40.9	28.3
MS11674	1	4233756	775	22545	0.532506	0.00685774	40.7	29.1
MS11675	1	4233756	138142	2950812	69.6973	1.52647	40.2	35.9
MS11676	1	4233756	2328	58504	1.38185	0.0203425	40.9	28.8
MS11677	1	4233756	2321	52370	1.23696	0.0201478	40.9	28.4
MS11678	1	4233756	2890	54615	1.28999	0.0251625	40.9	28.3
MS11679	1	4233756	8915	291502	6.88519	0.087117	40.6	31.9
MS11683	1	4233756	5205	111444	2.63227	0.0461678	40.9	29.9
MS11684	1	4233756	1760	41850	0.988484	0.0153181	40.9	29.1
MS11686	1	4233756	1675	38601	0.911744	0.0143301	40.9	28.2
MS11770	1	4233756	2730	52412	1.23796	0.0236717	40.9	28.3
MS11771	1	4233756	4561	82169	1.94081	0.039884	40.9	28.3
MS11774	1	4233756	2969	55178	1.30329	0.0257726	40.9	28.2
MS11775	1	4233756	4344	83188	1.96487	0.0377917	40.9	28.4
