Bacteroides_stercoris	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4734765	1083	35504	0.749858	0.00845639	40.9	32.8
MS11670	1	4734765	7818	328850	6.94543	0.0744744	40.6	35.9
MS11673	1	4734765	1576	59521	1.25711	0.0132366	40.8	34.2
MS11674	1	4734765	2012	74883	1.58156	0.0169248	40.8	34.1
MS11675	1	4734765	118071	2517035	53.1607	1.11735	40.5	36.1
MS11676	1	4734765	22820	776944	16.4093	0.200307	40.8	35.2
MS11677	1	4734765	67038	1788334	37.7703	0.571518	40.9	36.1
MS11678	1	4734765	49119	1526283	32.2357	0.449854	40.7	35.9
MS11679	1	4734765	33745	1165177	24.609	0.316951	40.5	35.9
MS11683	1	4734765	43369	1348073	28.4718	0.387471	40.7	35.8
MS11684	1	4734765	22394	636942	13.4525	0.201547	40.7	34.4
MS11686	1	4734765	94286	2220936	46.907	0.84977	40.7	35.8
MS11770	1	4734765	12718	479557	10.1284	0.111334	40.8	35.9
MS11771	1	4734765	10845	416816	8.80331	0.0962821	40.7	35.8
MS11774	1	4734765	185243	2944421	62.1873	1.68372	40.6	36.2
MS11775	1	4734765	178428	2828265	59.734	1.68097	40.4	35.8
