Clostridium_perfringens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3260088	52952	1485840	45.5767	0.724994	40.5	35.6
MS11670	1	3260088	86267	2076640	63.6989	1.26707	40.4	35.8
MS11673	1	3260088	8957	384669	11.7993	0.129093	40.3	35.6
MS11674	1	3260088	111071	2216963	68.0032	1.41644	40.8	35.7
MS11675	1	3260088	310684	2920253	89.5759	4.58078	40.3	35.8
MS11676	1	3260088	73534	1804433	55.3492	0.948311	40.8	35.5
MS11677	1	3260088	126590	2236676	68.6078	1.67614	40.7	35.7
MS11678	1	3260088	92461	1998572	61.3042	1.2599	40.6	35.5
MS11679	1	3260088	175148	2500523	76.7011	2.63828	40.2	35.6
MS11683	1	3260088	142688	2349822	72.0785	1.98995	40.5	35.6
MS11684	1	3260088	18371	664899	20.3951	0.246022	40.6	35
MS11686	1	3260088	63615	1741401	53.4158	0.879474	40.5	35.4
MS11770	1	3260088	14929	560205	17.1837	0.203517	40.5	35.2
MS11771	1	3260088	46460	1417446	43.4788	0.64789	40.4	35.6
MS11774	1	3260088	91173	1955596	59.986	1.20608	40.7	35.8
MS11775	1	3260088	354219	2893865	88.7665	5.00248	40.4	35.9
