Enterobacter_ludwigii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857439	2267	53920	1.11005	0.016801	40.9	27.6
MS11670	1	4857439	946	27284	0.561695	0.0070953	40.9	27.3
MS11673	1	4857439	993	20788	0.427962	0.00720771	40.9	26.8
MS11674	1	4857439	794	24202	0.498246	0.00597187	40.9	27.4
MS11675	1	4857439	27556	990728	20.3961	0.245967	40.5	34.5
MS11676	1	4857439	4409	149462	3.07697	0.0350051	40.9	29.9
MS11677	1	4857439	962	25476	0.524474	0.00703828	40.9	27
MS11678	1	4857439	2348	74307	1.52976	0.0186337	40.8	29.6
MS11679	1	4857439	1587	41121	0.846557	0.0120207	40.8	27.2
MS11683	1	4857439	1520	33501	0.689684	0.0111668	40.9	27.2
MS11684	1	4857439	2492	78818	1.62262	0.0198508	40.8	28.4
MS11686	1	4857439	1678	54372	1.11936	0.0129723	40.8	28
MS11770	1	4857439	1184	32982	0.679	0.00884293	40.9	27.1
MS11771	1	4857439	19653	731126	15.0517	0.181043	40.4	34.2
MS11774	1	4857439	2939	90303	1.85907	0.0231989	40.8	28.2
MS11775	1	4857439	1860	47885	0.985808	0.0137962	40.9	26.8
