Enterococcus_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2866949	337	12087	0.421598	0.00455432	40.7	32.2
MS11670	1	2866949	130	4496	0.156822	0.00172169	40.8	30.4
MS11673	1	2866949	276	11965	0.417343	0.0042533	40.6	34.7
MS11674	1	2866949	37608	1158562	40.411	0.556376	40.7	36.6
MS11675	1	2866949	60076	1691464	58.9987	0.988437	40.3	36.5
MS11676	1	2866949	782	25898	0.90333	0.0107934	40.8	31.3
MS11677	1	2866949	309	11592	0.404332	0.00419366	40.8	32.7
MS11678	1	2866949	3005	122312	4.26628	0.0463594	40.5	35.6
MS11679	1	2866949	531	22113	0.771308	0.00834999	40.3	34.4
MS11683	1	2866949	390	14345	0.500358	0.00557108	40.6	32.7
MS11684	1	2866949	39305	1241012	43.2869	0.61359	40.5	36.6
MS11686	1	2866949	615	19315	0.673713	0.00844696	40.7	31.6
MS11770	1	2866949	243	8938	0.31176	0.003322	40.9	31.1
MS11771	1	2866949	29898	1052352	36.7063	0.484514	40.3	36.5
MS11774	1	2866949	2446	104936	3.6602	0.0381064	40.4	35.9
MS11775	1	2866949	1117	26303	0.917456	0.014881	40.7	28.7
