Enterococcus_faecium	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2796178	301	10592	0.378803	0.00427298	40.8	31.3
MS11670	1	2796178	76	2469	0.0882991	0.00102139	40.7	28.2
MS11673	1	2796178	6313	260837	9.32834	0.0999693	40.6	36.6
MS11674	1	2796178	14967	547716	19.588	0.226692	40.7	36.5
MS11675	1	2796178	2294	76096	2.72143	0.034456	40.6	31.6
MS11676	1	2796178	1660	63080	2.25594	0.0239706	40.8	33.7
MS11677	1	2796178	180	5591	0.199952	0.00233497	40.9	30.4
MS11678	1	2796178	1288	52722	1.8855	0.0195946	40.6	34.1
MS11679	1	2796178	1669	76692	2.74274	0.0280476	40.3	35.4
MS11683	1	2796178	1097	46028	1.6461	0.0168981	40.6	35
MS11684	1	2796178	648	25321	0.905558	0.0096403	40.7	32
MS11686	1	2796178	999	37664	1.34698	0.0147616	40.7	32.5
MS11770	1	2796178	5165	202816	7.25333	0.0784539	40.7	35.5
MS11771	1	2796178	92243	1848408	66.1048	1.51352	40.4	36.7
MS11774	1	2796178	6503	272907	9.76	0.105754	40.4	36.3
MS11775	1	2796178	8105	327810	11.7235	0.131061	40.4	35.9
