Escherichia_coli	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4641652	2642	77127	1.66163	0.0216027	40.8	30.4
MS11670	1	4641652	17159	675546	14.554	0.160776	40.7	35.6
MS11673	1	4641652	2527	90772	1.9556	0.021641	40.8	33.5
MS11674	1	4641652	175098	3194334	68.8189	1.52668	40.8	35.5
MS11675	1	4641652	185842	3509173	75.6018	1.75233	40.5	35.7
MS11676	1	4641652	220157	3678401	79.2477	1.93956	40.8	36.2
MS11677	1	4641652	5560	201661	4.3446	0.0466461	40.9	34.1
MS11678	1	4641652	19382	705600	15.2015	0.173592	40.7	35.2
MS11679	1	4641652	74914	2287425	49.2804	0.738308	40.4	35.9
MS11683	1	4641652	40625	1368109	29.4746	0.369901	40.6	35.7
MS11684	1	4641652	597274	4369335	94.1332	5.64703	40.5	36.2
MS11686	1	4641652	36989	1311834	28.2622	0.344744	40.5	35.6
MS11770	1	4641652	62282	1851869	39.8968	0.563598	40.7	35.4
MS11771	1	4641652	1058004	4353865	93.7999	10.8853	40.2	36.1
MS11774	1	4641652	84343	2374479	51.1559	0.779756	40.6	35.5
MS11775	1	4641652	22907	794036	17.1068	0.207406	40.6	33
