Helicobacter_NHP19-003	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1539826	676	23630	1.53459	0.0176241	40.6	33.8
MS11670	1	1539826	367	14287	0.927832	0.0103278	40.5	34
MS11673	1	1539826	684	28463	1.84846	0.0194587	40.3	35
MS11674	1	1539826	5038	181918	11.8142	0.12684	40.9	36.3
MS11675	1	1539826	7889	304822	19.7959	0.228413	40.4	36.4
MS11676	1	1539826	3626	145118	9.42431	0.100818	40.6	36.1
MS11677	1	1539826	35783	945146	61.3801	1.04064	40.5	36.2
MS11678	1	1539826	1220	50296	3.26634	0.034602	40.5	35.5
MS11679	1	1539826	2124	92320	5.99548	0.0633279	40.2	35.8
MS11683	1	1539826	2490	105335	6.84071	0.0725368	40.4	35.9
MS11684	1	1539826	8066	309897	20.1255	0.230134	40.4	36.4
MS11686	1	1539826	34746	917425	59.5798	1.00596	40.4	36.3
MS11770	1	1539826	1413	62056	4.03007	0.0417404	40.4	36
MS11771	1	1539826	9324	366626	23.8096	0.278283	40.2	36.4
MS11774	1	1539826	6362	253617	16.4705	0.185638	40.3	36.5
MS11775	1	1539826	2085	81470	5.29086	0.0559985	40.5	35.9
