Helicobacter_cinaedi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2078348	278	5577	0.268338	0.00485097	40.9	29.1
MS11670	1	2078348	177	6297	0.302981	0.00373999	40.7	32.7
MS11673	1	2078348	200	5700	0.274256	0.00402098	40.6	30.9
MS11674	1	2078348	112	3947	0.18991	0.00205404	40.9	31.5
MS11675	1	2078348	1293	53012	2.55068	0.027556	40.5	33.2
MS11676	1	2078348	121	3050	0.146751	0.00207232	40.9	28.7
MS11677	1	2078348	11374	378755	18.2238	0.217555	40.9	34.6
MS11678	1	2078348	3293	126524	6.08772	0.066142	40.7	33.1
MS11679	1	2078348	638	26319	1.26634	0.0134107	40.5	33.4
MS11683	1	2078348	812	32254	1.55191	0.0164535	40.7	33.8
MS11684	1	2078348	87	2748	0.13222	0.00166382	40.6	30.6
MS11686	1	2078348	8395	311054	14.9664	0.172881	40.7	34.1
MS11770	1	2078348	88	2217	0.106671	0.00170664	40.7	28.9
MS11771	1	2078348	162	4662	0.224313	0.00307023	40.7	30.3
MS11774	1	2078348	551	19821	0.95369	0.0109159	40.7	32.9
MS11775	1	2078348	48676	1061170	51.0583	1.05871	40.4	34.4
