Phocaeicola_vulgatus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4957189	457	14663	0.295793	0.00337913	40.9	30.8
MS11670	1	4957189	2263	93371	1.88355	0.020226	40.5	34.9
MS11673	1	4957189	2753	106112	2.14057	0.0223465	40.8	35.2
MS11674	1	4957189	1871	61669	1.24403	0.014621	40.9	32.8
MS11675	1	4957189	24964	806885	16.2771	0.218577	40.6	34.8
MS11676	1	4957189	7193	204199	4.11925	0.0575451	40.8	32.4
MS11677	1	4957189	111311	2593721	52.3224	0.905912	40.9	36.4
MS11678	1	4957189	51021	1598619	32.2485	0.440734	40.7	36.2
MS11679	1	4957189	27883	984285	19.8557	0.244985	40.6	35.8
MS11683	1	4957189	36067	1146262	23.1232	0.303667	40.7	35.6
MS11684	1	4957189	19746	655140	13.216	0.168408	40.7	34.9
MS11686	1	4957189	54683	1647105	33.2266	0.467915	40.7	35.7
MS11770	1	4957189	9467	365120	7.36546	0.0797531	40.7	35.8
MS11771	1	4957189	5543	218126	4.4002	0.0466831	40.7	35.4
MS11774	1	4957189	129014	2801094	56.5057	1.11608	40.6	36.2
MS11775	1	4957189	564534	3931495	79.309	5.10306	40.4	36.3
