Providencia_alcalifaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3990106	349	9092	0.227864	0.00314678	40.9	27.2
MS11670	1	3990106	218	6201	0.155409	0.00198015	40.9	27.6
MS11673	1	3990106	164	5074	0.127165	0.00148116	40.9	28.4
MS11674	1	3990106	1132	43136	1.08107	0.0110629	40.8	34.5
MS11675	1	3990106	6272	200778	5.0319	0.0647572	40.7	31.1
MS11676	1	3990106	1895	66736	1.67254	0.0182907	40.9	30.7
MS11677	1	3990106	339	9422	0.236134	0.0030523	40.9	27.2
MS11678	1	3990106	654	21309	0.534046	0.0063086	40.8	28.8
MS11679	1	3990106	139299	2926081	73.3334	1.62819	40.3	36.6
MS11683	1	3990106	146505	2869399	71.9129	1.56763	40.6	36.5
MS11684	1	3990106	4944	202164	5.06663	0.0524157	40.6	36.4
MS11686	1	3990106	1841	74736	1.87303	0.0191581	40.7	35.4
MS11770	1	3990106	506	19220	0.481691	0.00501165	40.8	33.7
MS11771	1	3990106	2781	93003	2.33084	0.0279231	40.8	31
MS11774	1	3990106	925	35205	0.882307	0.00947794	40.7	32.1
MS11775	1	3990106	1476	31747	0.795643	0.0134583	40.9	27.9
