Rhodococcus_gordoniae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4550112	12037	211923	4.65753	0.0983708	40.9	29.3
MS11670	1	4550112	3234	62921	1.38285	0.0259561	40.9	28.7
MS11673	1	4550112	4792	70263	1.5442	0.0380052	40.9	28.4
MS11674	1	4550112	1678	42492	0.933867	0.0133729	40.9	28.9
MS11675	1	4550112	15610	231820	5.09482	0.128787	40.9	29.4
MS11676	1	4550112	4443	97810	2.14962	0.0359031	40.9	29.2
MS11677	1	4550112	8328	177288	3.89634	0.0680243	40.9	29.5
MS11678	1	4550112	7451	111138	2.44253	0.0611251	40.9	29
MS11679	1	4550112	210698	3800589	83.5274	2.17074	40.3	36.2
MS11683	1	4550112	102696	2510945	55.1842	0.959428	40.6	35.2
MS11684	1	4550112	8082	165251	3.6318	0.0670023	40.9	29.7
MS11686	1	4550112	11162	317925	6.98719	0.0973284	40.8	32.6
MS11770	1	4550112	5127	94995	2.08775	0.0416155	40.9	29
MS11771	1	4550112	6245	109236	2.40073	0.050899	40.9	28.8
MS11774	1	4550112	15299	146923	3.229	0.127437	40.9	29.2
MS11775	1	4550112	6005	110020	2.41796	0.0487017	40.9	29
