Amedibacterium_intestinale	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2488096	191	6610	0.265665	0.00293236	40.8	30.4
MS11669	1	2488096	191	6610	0.265665	0.00293236	40.8	30.4
MS11670	1	2488096	415	16148	0.64901	0.00694065	40.7	32.2
MS11670	1	2488096	415	16148	0.64901	0.00694065	40.7	32.2
MS11673	1	2488096	1001	38830	1.56063	0.0164391	40.7	35.3
MS11673	1	2488096	1001	38830	1.56063	0.0164391	40.7	35.3
MS11674	1	2488096	687	28098	1.1293	0.0115594	40.6	34.7
MS11674	1	2488096	687	28098	1.1293	0.0115594	40.6	34.7
MS11675	1	2488096	17029	598156	24.0407	0.330642	40.1	35.6
MS11675	1	2488096	17029	598156	24.0407	0.330642	40.1	35.6
MS11676	1	2488096	23562	769680	30.9345	0.409962	40.7	36.1
MS11676	1	2488096	23562	769680	30.9345	0.409962	40.7	36.1
MS11677	1	2488096	554	20929	0.841165	0.00886742	40.8	34.1
MS11677	1	2488096	554	20929	0.841165	0.00886742	40.8	34.1
MS11678	1	2488096	3310	132168	5.31201	0.0592831	40.5	34.3
MS11678	1	2488096	3310	132168	5.31201	0.0592831	40.5	34.3
MS11679	1	2488096	1160	46798	1.88088	0.0209196	40.3	34.6
MS11679	1	2488096	1160	46798	1.88088	0.0209196	40.3	34.6
MS11683	1	2488096	1246	47967	1.92786	0.0214895	40.6	34.6
MS11683	1	2488096	1246	47967	1.92786	0.0214895	40.6	34.6
MS11684	1	2488096	14304	554853	22.3003	0.269785	40.3	36.1
MS11684	1	2488096	14304	554853	22.3003	0.269785	40.3	36.1
MS11686	1	2488096	9844	397363	15.9706	0.182525	40.3	36
MS11686	1	2488096	9844	397363	15.9706	0.182525	40.3	36
MS11770	1	2488096	3793	160671	6.45759	0.069214	40.5	35.3
MS11770	1	2488096	3793	160671	6.45759	0.069214	40.5	35.3
MS11771	1	2488096	623	25383	1.02018	0.0109276	40.3	34
MS11771	1	2488096	623	25383	1.02018	0.0109276	40.3	34
MS11774	1	2488096	7045	254845	10.2426	0.130041	40.3	35.3
MS11774	1	2488096	7045	254845	10.2426	0.130041	40.3	35.3
MS11775	1	2488096	89168	1674269	67.2912	1.74224	40.1	36
MS11775	1	2488096	89168	1674269	67.2912	1.74224	40.1	36
Clostridium_perfringens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3260088	52952	1485840	45.5767	0.724994	40.5	35.6
MS11670	1	3260088	86267	2076640	63.6989	1.26707	40.4	35.8
MS11673	1	3260088	8957	384669	11.7993	0.129093	40.3	35.6
