,PC1,PC2,labels,name
SRR14842336,-4.3554807,5.3870716,Canis_familiaris,SRR14842336
MS11102,7.575138,13.144958,Sediment,MS11102
SRR14842425,-4.110176,-3.0658941,Canis_familiaris,SRR14842425
SRR2240729,12.070303,-13.764379,Homo_sapiens,SRR2240729
SRR2241305,15.1087675,-9.203771,Homo_sapiens,SRR2241305
SRR2175658,8.766832,-5.65182,Homo_sapiens,SRR2175658
SRR2175654,8.704953,-9.740128,Homo_sapiens,SRR2175654
SRR1952521,10.637142,-14.485566,Homo_sapiens,SRR1952521
SRR1952621,11.192685,-13.07692,Homo_sapiens,SRR1952621
SRR24222623,3.1231978,16.587166,Sediment,SRR24222623
SRR14842412,-3.8613079,1.4896299,Canis_familiaris,SRR14842412
SRR14842388,-13.013031,1.5529255,Canis_familiaris,SRR14842388
SRR25620753,-4.245044,16.097963,Sediment,SRR25620753
SRR25620795,-2.6575816,17.322453,Sediment,SRR25620795
SRR1952518,10.226707,-9.123019,Homo_sapiens,SRR1952518
SRR14842397,-10.06898,4.1527843,Canis_familiaris,SRR14842397
SRR14842393,-9.284636,-7.577383,Canis_familiaris,SRR14842393
SRR2240837,14.835544,-13.236488,Homo_sapiens,SRR2240837
MS10903,4.1045694,18.741995,Sediment,MS10903
SRR2175756,14.989898,-4.5727806,Homo_sapiens,SRR2175756
SRR14842371,-5.1035767,-4.3777466,Canis_familiaris,SRR14842371
SRR14842338,-5.7838306,-0.15773469,Canis_familiaris,SRR14842338
SRR14842369,-9.302878,0.04567523,Canis_familiaris,SRR14842369
SRR14842330,-12.465437,-8.94418,Canis_familiaris,SRR14842330
SRR2175726,10.588107,-6.652321,Homo_sapiens,SRR2175726
SRR14842405,-12.084423,-7.5538445,Canis_familiaris,SRR14842405
SRR14842321,-1.3072737,-2.20516,Canis_familiaris,SRR14842321
SRR14842347,-6.0266867,3.8621197,Canis_familiaris,SRR14842347
MS11108,7.501365,11.262575,Sediment,MS11108
SRR14842375,-10.7057705,1.7657099,Canis_familiaris,SRR14842375
SRR14842341,0.22188379,4.192307,Canis_familiaris,SRR14842341
ERR12814467,-1.7276982,19.847712,Sediment,ERR12814467
MS11107,6.525314,13.8559265,Sediment,MS11107
SRR14842329,5.205182,-4.972298,Canis_familiaris,SRR14842329
SRR14842408,-4.95071,-2.7717376,Canis_familiaris,SRR14842408
SRR14842358,-11.059054,-10.190285,Canis_familiaris,SRR14842358
SRR14842354,-5.0728326,-6.6181507,Canis_familiaris,SRR14842354
SRR14842366,-7.0757446,2.3099568,Canis_familiaris,SRR14842366
SRR14842384,-8.487403,-3.6775784,Canis_familiaris,SRR14842384
SRR2175670,12.356023,-6.4490747,Homo_sapiens,SRR2175670
SRR2241109,13.167408,-9.96373,Homo_sapiens,SRR2241109
SRR24222627,5.923627,12.017808,Sediment,SRR24222627
SRR14842362,-7.8595023,-6.809298,Canis_familiaris,SRR14842362
SRR14842416,-3.6794844,4.08352,Canis_familiaris,SRR14842416
SRR14842420,4.020414,-3.9291341,Canis_familiaris,SRR14842420
SRR1952613,15.832425,-6.5814247,Homo_sapiens,SRR1952613
MS10902,4.000916,18.17021,Sediment,MS10902
SRR2175779,9.676502,-11.263684,Homo_sapiens,SRR2175779
SRR2175773,12.428774,-3.7443318,Homo_sapiens,SRR2175773
SRR2175764,7.9882584,-11.142226,Homo_sapiens,SRR2175764
SRR14842419,-14.391351,1.1250519,Canis_familiaris,SRR14842419
SRR2241505,13.452686,-11.590643,Homo_sapiens,SRR2241505
SRR14842387,-9.714392,-3.4953232,Canis_familiaris,SRR14842387
SRR1952617,13.091118,-12.3900585,Homo_sapiens,SRR1952617
SRR14842417,-6.027537,1.492141,Canis_familiaris,SRR14842417
SRR14842345,-9.653579,-11.196886,Canis_familiaris,SRR14842345
SRR1952457,11.332643,-10.189477,Homo_sapiens,SRR1952457
SRR14842411,-5.739968,8.430613,Canis_familiaris,SRR14842411
SRR14842327,-1.2654531,7.919834,Canis_familiaris,SRR14842327
SRR1952058,9.176691,-3.172277,Homo_sapiens,SRR1952058
SRR14842389,-12.11859,-10.768914,Canis_familiaris,SRR14842389
SRR14842385,-1.8418525,0.6536835,Canis_familiaris,SRR14842385
SRR2241409,9.919801,-13.121507,Homo_sapiens,SRR2241409
SRR1952522,14.486731,-6.142942,Homo_sapiens,SRR1952522
SRR2241306,9.986949,-14.378092,Homo_sapiens,SRR2241306
SRR14842422,-2.3376796,-1.4202521,Canis_familiaris,SRR14842422
SRR14842376,-1.2806545,-2.2605104,Canis_familiaris,SRR14842376
SRR14842400,-11.198506,-9.065271,Canis_familiaris,SRR14842400
SRR14842373,-11.95628,0.030999962,Canis_familiaris,SRR14842373
SRR1952455,12.761789,-11.373666,Homo_sapiens,SRR1952455
SRR7774477,0.98386437,17.213238,Sediment,SRR7774477
SRR7774469,3.8865442,13.022078,Sediment,SRR7774469
SRR14842374,-3.4343386,-0.014410291,Canis_familiaris,SRR14842374
SRR1952459,11.645797,-9.968617,Homo_sapiens,SRR1952459
ERR12074384,6.596818,11.183048,Sediment,ERR12074384
SRR7774471,-0.73853755,16.890957,Sediment,SRR7774471
SRR14842423,-3.8756175,-2.7085643,Canis_familiaris,SRR14842423
SRR14842349,-2.5934958,3.0765567,Canis_familiaris,SRR14842349
SRR2241023,15.380718,-9.272618,Homo_sapiens,SRR2241023
SRR14842322,-5.633484,8.246583,Canis_familiaris,SRR14842322
SRR25620756,-3.719881,18.104555,Sediment,SRR25620756
ERR12814476,-1.1231726,20.849257,Sediment,ERR12814476
SRR14842323,-5.2807603,7.5565505,Canis_familiaris,SRR14842323
SRR14842352,-4.8797407,-5.489751,Canis_familiaris,SRR14842352
ERR12814471,-2.4802272,19.23889,Sediment,ERR12814471
SRR14842396,-2.6408648,4.025421,Canis_familiaris,SRR14842396
SRR2240921,11.0257435,-7.9597073,Homo_sapiens,SRR2240921
SRR2175755,11.6564665,-10.847901,Homo_sapiens,SRR2175755
SRR14842402,-13.773802,0.4121181,Canis_familiaris,SRR14842402
SRR14842370,-9.941984,3.9662569,Canis_familiaris,SRR14842370
SRR2240287,12.7761135,-7.8183045,Homo_sapiens,SRR2240287
SRR14842334,-5.910648,1.1655357,Canis_familiaris,SRR14842334
SRR14842361,-10.030423,-9.947638,Canis_familiaris,SRR14842361
SRR7774474,-0.0657178,17.148405,Sediment,SRR7774474
SRR14842379,-16.112154,-3.0377057,Canis_familiaris,SRR14842379
SRR25620676,-4.1377406,17.255268,Sediment,SRR25620676
SRR14842320,-10.228739,-7.444478,Canis_familiaris,SRR14842320
SRR2175724,12.663287,-3.9510999,Homo_sapiens,SRR2175724
SRR2175804,13.849822,-13.125168,Homo_sapiens,SRR2175804
SRR14842415,0.6286893,7.1072235,Canis_familiaris,SRR14842415
ERR1560093,2.5261912,13.728795,Sediment,ERR1560093
SRR2175725,13.285217,-14.91435,Homo_sapiens,SRR2175725
SRR2175723,10.749622,-3.772588,Homo_sapiens,SRR2175723
SRR14842368,-10.23143,-8.740208,Canis_familiaris,SRR14842368
SRR2175780,13.272012,-15.572055,Homo_sapiens,SRR2175780
SRR14842325,-1.0754098,4.2651486,Canis_familiaris,SRR14842325
SRR14842339,-0.438854,1.3159655,Canis_familiaris,SRR14842339
SRR1952562,11.549154,-12.325396,Homo_sapiens,SRR1952562
SRR14842383,-8.972012,-6.0345097,Canis_familiaris,SRR14842383
