CHROM	START	END	N_SITES
1	0	10000	25
1	10000	20000	0
1	20000	30000	0
1	30000	40000	57
1	40000	50000	12
1	50000	60000	66
1	60000	70000	0
1	70000	80000	27
1	80000	90000	28
1	90000	100000	0
1	100000	110000	0
1	110000	120000	0
1	120000	130000	0
1	130000	140000	0
1	140000	150000	0
1	150000	160000	0
1	160000	170000	1025
1	170000	180000	17
1	180000	190000	17
1	190000	200000	0
1	200000	210000	22
1	210000	220000	386
1	220000	230000	880
1	230000	240000	314
1	240000	250000	960
1	250000	260000	1333
1	260000	270000	912
1	270000	280000	1163
1	280000	290000	1375
1	290000	300000	1222
1	300000	310000	1026
1	310000	320000	1255
1	320000	330000	518
1	330000	340000	1099
1	340000	350000	977
1	350000	360000	350
1	360000	370000	502
1	370000	380000	1481
1	380000	390000	900
1	390000	400000	1012
1	400000	410000	921
1	410000	420000	878
1	420000	430000	320
1	430000	440000	421
1	440000	450000	354
1	450000	460000	858
1	460000	470000	1103
1	470000	480000	756
1	480000	490000	699
1	490000	500000	1126
1	500000	510000	1020
1	510000	520000	933
1	520000	530000	822
1	530000	540000	826
1	540000	550000	769
1	550000	560000	943
1	560000	570000	883
1	570000	580000	268
1	580000	590000	784
1	590000	600000	940
1	600000	610000	1126
1	610000	620000	995
1	620000	630000	522
1	630000	640000	846
1	640000	650000	1182
1	650000	660000	468
1	660000	670000	138
1	670000	680000	384
1	680000	690000	870
1	690000	700000	645
1	700000	710000	564
1	710000	720000	806
1	720000	730000	606
1	730000	740000	809
1	740000	750000	871
1	750000	760000	602
1	760000	770000	676
1	770000	780000	749
1	780000	790000	581
1	790000	800000	478
1	800000	810000	480
1	810000	820000	339
1	820000	830000	523
1	830000	840000	465
1	840000	850000	499
1	850000	860000	802
1	860000	870000	533
1	870000	880000	428
1	880000	890000	621
1	890000	900000	639
1	900000	910000	764
1	910000	920000	654
1	920000	930000	870
1	930000	940000	614
1	940000	950000	596
1	950000	960000	966
1	960000	970000	613
1	970000	980000	327
1	980000	990000	500
1	990000	1000000	338
1	1000000	1010000	290
1	1010000	1020000	475
1	1020000	1030000	527
1	1030000	1040000	857
1	1040000	1050000	714
1	1050000	1060000	566
1	1060000	1070000	519
1	1070000	1080000	729
1	1080000	1090000	870
1	1090000	1100000	435
1	1100000	1110000	526
1	1110000	1120000	498
1	1120000	1130000	235
1	1130000	1140000	479
1	1140000	1150000	941
1	1150000	1160000	782
1	1160000	1170000	613
1	1170000	1180000	1119
1	1180000	1190000	836
1	1190000	1200000	880
1	1200000	1210000	996
1	1210000	1220000	1398
1	1220000	1230000	932
1	1230000	1240000	1136
1	1240000	1250000	1060
1	1250000	1260000	891
1	1260000	1270000	1071
1	1270000	1280000	869
1	1280000	1290000	958
1	1290000	1300000	1314
1	1300000	1310000	987
1	1310000	1320000	1138
1	1320000	1330000	1348
